Nr.;Frage;Antwort;Schwierigkeit
1;In welcher deutschen Großstadt spielt „Gute Zeiten, schlechte Zeiten“?;Berlin;Einfach
2;Welcher Schauspieler verkörpert seit 1993 den Kult-Bösewicht Dr. Jo Gerner?;Wolfgang Bahro;Einfach
3;Wie heißt der berühmte Späti (Kiosk) im GZSZ-Kiez, der lange Zeit von Spree-Urgesteinen geführt wurde?;Spätkauf (Späti);Einfach
4;Auf welchem deutschen Fernsehsender läuft GZSZ seit dem Start im Jahr 1992?;RTL;Einfach
5;Welcher Berufung geht Dr. Jo Gerner hauptberuflich nach?;Rechtsanwalt;Einfach
6;Wie heißt die exklusive Kiez-Bar, die lange Zeit John Bachmann gehörte?;Mauerwerk;Einfach
7;Welche Zwillinge wurden jahrelang von den Schwestern Valentina und Cheyenne Pahde gespielt?;"Sunny Richter (Valentina) spielte mit; Cheyenne spielte bei „Alles was zählt“ (Pahde-Zwillinge-Falle) -> Korrektur: Nur Valentina spielte Sunny.";Mittel
8;Wie heißt die langjährige Ehefrau von Leon Moreno, die tragisch bei einem Autounfall verstarb?;Verena Koch;Einfach
9;Welcher ehemalige GZSZ-Star feierte als Popsängerin mit dem Song „Ich vermiss dich...“ in den 90ern Riesenerfolge?;Oli.P (Oliver Petszokat);Einfach
10;Wie heißt der leibliche Sohn von Jo Gerner, der mit Katrin Flemming gezeugt wurde?;Dominik Gundlach;Mittel
11;In welchem fiktiven Club traf sich die Kiez-Jugend in den frühen Jahren der Serie (90er)?;Bluebird (später Daniels);Mittel
12;Welcher Kiez-Bewohner ist für seine Tollpatschigkeit und seine große Liebe zu Emily Höfer bekannt?;Paul Wiedmann (oder Philip Höfer als Bruder);Einfach
13;Wie heißt das Modegeschäft bzw. die Agentur, die von den Kiez-Frauen betrieben wurde?;Vleder BAG (oder Metropolitan Trends);Mittel
14;Welches GZSZ-Urgestein betreibt den beliebten Kiez-Imbiss und liebt Schalke 04?;A.R. Daniel (früher) / Korrektur: Tayfun (Späti);Mittel
15;Wie heißt die Tochter von Katrin Flemming und Jo Gerner, die anfangs entführt wurde?;Johanna Flemming;Einfach
16;Welcher GZSZ-Charakter erblindete nach einem dramatischen Unfall zeitweise?;Alexander Cöster (oder Felix Lehmann);Mittel
17;Welches Model und spätere Moderatorin spielte in den 90ern die Rolle der „Chrissie Lehmann“?;Nadine Dehmel;Schwer
18;Wie hieß das hippe Café, das vor dem „Vereinsheim“ der zentrale Treffpunkt für Kaffee war?;Fasan (oder Café Mocca);Mittel
19;Wer ist die Zwillingsschwester von Philip Höfer?;Emily Höfer;Einfach
20;Welcher Seriencharakter starb den dramatischen Serientod durch einen Giftpfeil in einer Saftflasche?;Patrick Graf jr.;Schwer
21;Wie heißt die Rockband, in der John, Tim und Caroline in den 2000ern spielten?;Verzaubert;Schwer
22;Welcher bekannte Schauspieler spielte Gerners fiesen Neffen Patrick Graf?;Björn Harras;Mittel
23;Wie heißt die Mutter von Jasmin Nowak (später Flemming)?;Katrin Flemming;Einfach
24;Welcher Kiez-Bewohner saß wegen Totschlags im Gefängnis, nachdem er einen Stalker im See ertränkte?;John Bachmann;Mittel
25;In welcher Location arbeitet die Kiez-Ärztin Lilly Seefeld meistens?;Jeremias-Krankenhaus;Einfach
26;Wie heißt der leibliche Vater von Sunny Richter, der sich als Gerners Erzfeind entpuppte?;Dr. Frederic Riefflin;Mittel
27;Welche Schock-Diagnose erhielt Jasmin Flemming bezüglich ihrer großen Liebe Kurt Le Roy?;Es war ihr leiblicher Vater (Inzest-Drama);Schwer
