Nr.;Frage;Antwort;Schwierigkeit
1;Wie heißt der grüne Klempner und Zwillingsbruder von Super Mario?;Luigi;Einfach
2;Auf welcher legendären Map wird im eSport-Klassiker Counter-Strike am häufigsten gespielt?;de_dust2 (Dust II);Einfach
3;Welches Klötzchenspiel ist das meistverkaufte Videospiel aller Zeiten?;Minecraft;Einfach
4;"Welches MOBA-Spiel hat das größte jährliche Preisgeld beim eSport-Turnier ""The International""?";Dota 2;Einfach
5;Wie nennt man das Haupt-Spielfeld, auf dem die eSport-Matches in League of Legends ausgetragen werden?;Summoner's Rift (Kluft der Beschwörer);Einfach
6;Welches Echtzeit-Strategiespiel von Blizzard dreht sich um den Konflikt zwischen Terranern, Protoss und Zerg?;StarCraft;Einfach
7;Wie heißt der ikonische Hauptcharakter der Halo-Reihe?;Master Chief;Einfach
8;"Was bedeutet das universelle eSport-Kürzel ""GG"", das man am Ende eines Matches schreibt?";Good Game;Einfach
9;Welches gelbe Elektro-Monster ist das weltweite Maskottchen der Pokémon-Reihe?;Pikachu;Einfach
10;"Aus welchem physikbasierten Rätselspiel von Valve stammt der berühmte Satz ""The cake is a lie""?";Portal;Einfach
11;Was müssen die Terroristen (T-Seite) in Counter-Strike auf einem Bombspot platzieren, um die Runde zu gewinnen?;Das C4 (Die Bombe);Einfach
12;Welches polnische Entwicklerstudio feierte mit The Witcher 3: Wild Hunt seinen internationalen Durchbruch?;CD Projekt Red;Einfach
13;Wer ist der stachelige Schildkröten-Endgegner in fast allen Super Mario-Spielen?;Bowser;Einfach
14;Welches Mobile-Game löste einen weltweiten Hype aus, bei dem Spieler draußen virtuelle Monster fangen mussten?;Pokémon GO;Einfach
15;Wie nennt man den klassischen Shooter-Modus, in dem es keine Teams gibt und jeder gegen jeden kämpft?;Deathmatch (Free for All);Einfach
16;Aus welchem Land stammte der Programmierer Alexei Paschitnow, der 1984 Tetris erfand?;Sowjetunion (Russland);Einfach
17;Welcher Taktik-Shooter von Riot Games gilt als der modernste, direkte Konkurrent zu Counter-Strike?;Valorant;Einfach
18;Wie heißt die weltberühmte, Grabmäler erforschende Heldin aus der Tomb Raider-Reihe?;Lara Croft;Einfach
19;Was sammelt Sonic der Igel hauptsächlich in seinen Spielen, um bei gegnerischem Kontakt nicht sofort zu sterben?;Ringe;Einfach
20;In welchem Battle-Royale-Spiel von Epic Games kann man Wände und Rampen bauen, während man kämpft?;Fortnite;Einfach
21;"Welches Kampfspiel-Franchise ist berühmt für seine extrem brutalen Finisher namens ""Fatality!""?";Mortal Kombat;Einfach
22;Wie heißt das stärkste und beliebteste Sturmgewehr der Terroristen in der Counter-Strike-Serie?;AK-47;Einfach
23;Wie heißt das langlebige Simulationsspiel, in dem man virtuelle Häuser baut und das Leben von Menschen steuert?;Die Sims;Einfach
24;Welches tragbare Nintendo-Gerät aus den Spätachtzigern machte Tetris im Westen erst richtig populär?;Game Boy;Einfach
25;Welche Granate kauft man in Counter-Strike, um die Sichtlinie des Gegners mit einer grauen Wolke komplett zu blockieren?;Rauchgranate (Smoke);Einfach
26;Wie nennt man ein eSport-Match, bei dem ein Team zwei von drei gespielten Maps gewinnen muss, um zu siegen?;Best of 3 (Bo3);Einfach
27;Wie nennt man im Gaming-Jargon das absichtliche Verlieren oder Sabotieren eines laufenden Spiels?;Throwen (Griefing / Inting);Einfach
28;Welcher Publisher ist für gigantische jährliche Sportspiel-Reihen wie EA Sports FC (ehemals FIFA) verantwortlich?;Electronic Arts (EA);Einfach
29;"Welches Auto-Fußball-Spiel hat mit der ""RLCS"" eine eigene, weltweit extrem erfolgreiche eSport-Liga?";Rocket League;Einfach
30;Wie nennt man den Betrag an In-Game-Währung, den man in MOBAs wie LoL pro Sekunde völlig automatisch erhält?;Passives Gold;Einfach
31;Wie heißt das lila Drachen-Maskottchen von PlayStation, das mit seinen Hörnern rammen und Feuer speien kann?;Spyro;Einfach
32;Wie nennt man im Rollenspiel- und MMO-Bereich das Erreichen der maximalen Stufe eines Charakters?;Max Level (Level Cap);Einfach
33;Welches Zubehörteil benötigt man zwingend, um Spiele wie Half-Life: Alyx überhaupt spielen zu können?;VR-Headset (VR-Brille);Einfach
34;Wie heißt die pixelige, rosa gekleidete Helferin, die in jedem Pokémon-Center deine Kreaturen heilt?;Schwester Joy;Einfach
35;Welches kostenlose Online-Kartenspiel von Blizzard basiert komplett auf den Charakteren des Warcraft-Universums?;Hearthstone;Einfach
36;"Welcher legendäre südkoreanische League of Legends-Spieler trägt den ehrfürchtigen Spitznamen ""Unkillable Demon King""?";Faker (Lee Sang-hyeok);Mittel
37;Welches schwedische CS:GO-Team hielt in der Frühphase des Spiels eine historische LAN-Siegesserie von 87-0 Maps?;Ninjas in Pyjamas (NiP);Mittel
38;Wie heißt der In-Game-Leader (IGL), der das dänische Team Astralis zu vier CS:GO Major-Titeln führte?;gla1ve (Lukas Rossander);Mittel
39;"In welchem eSport-Klub erlangte der ukrainische Ausnahmespieler ""s1mple"" weltweiten Ruhm als bester AWPer?";Natus Vincere (Na'Vi);Mittel
40;Welches Echtzeit-Strategiespiel von Blizzard bot die technische Editor-Basis für die allererste DotA-Modifikation?;Warcraft III;Mittel
41;"Was versteht man unter ""Kiting"" (oder Orb-Walking) bei Fernkampf-Charakteren in MOBAs?";Angreifen im flüssigen Rückwärtsbewegen, um Distanz zum Gegner zu halten;Mittel
42;Welches Item verleiht einem League of Legends-Champion nach dem virtuellen Tod eine sofortige Wiederbelebung im Kampf?;Guardian Angel (Schutzengel);Mittel
43;"Welcher StarCraft-Profi wird wegen seiner unvergleichlichen mechanischen Dominanz in Brood War auch ""The Flash"" genannt?";Lee Young-ho (Flash);Mittel
44;Wie nennt man die Taktik in Counter-Strike, bei der ein Team in einer Runde gar kein Geld ausgibt, um für die Folgerunde zu sparen?;Eco-Round (Ökorunde);Mittel
45;Wie heißt das maximale Bevölkerungslimit (Supply-Cap) für einen Spieler in einem Standardmatch von StarCraft II?;200;Mittel
46;Welches europäische eSport-Team gewann das allererste CS:GO Major-Turnier der Geschichte (DreamHack Winter 2013)?;Fnatic;Mittel
47;Welches Hauptattribut erhöht in World of Warcraft traditionell die Zaubermacht und den Manavorrat von Magiern?;Intelligenz;Mittel
48;Welcher Begriff beschreibt das Verhindern, dass der Gegner den finalen Schlag (Last Hit) auf Minions ausführt (besonders wichtig in Dota 2)?;Denying (Denien);Mittel
49;Wie heißt das mächtige lila Boss-Monster im LoL-Dschungel, dessen Eliminierung dem gesamten Team den stärksten temporären Buff gibt?;Baron Nashor;Mittel
50;Welcher deutsche eSport-Verein hat seine Wurzeln im Jahr 1997 und gehört damit zu den ältesten noch aktiven Organisationen der Welt?;SK Gaming;Mittel
52;Welcher dänische eSportler gilt als einer der erfolgreichsten Dota 2-Spieler aller Zeiten und führte das Team OG zu zwei TI-Siegen?;N0tail (Johan Sundstein);Mittel
53;Wie heißt die offizielle, höchste europäische Profiliga für den eSport-Titel League of Legends?;LEC (League of Legends EMEA Championship);Mittel
54;Welcher Begriff bezeichnet im eSport die Anzahl der Tastatur- und Mausklicks, die ein Spieler pro Minute schafft?;APM (Actions Per Minute);Mittel
55;"Was bedeutet das essenzielle Interface-Akronym ""HUD"" im Gaming-Bereich ausgeschrieben?";Heads-Up Display;Mittel
56;Welches weit verbreitete Turniersystem wird im eSport genutzt, bei dem ein Team erst nach zwei verlorenen Matches endgültig ausscheidet?;Double Elimination;Mittel
57;Wie heißt das legendäre, im Flussbett hausende Boss-Monster im Zentrum der Map von Dota 2?;Roshan;Mittel
58;Wie nennt man das psychologische Phänomen, wenn ein Spieler durch Frustration oder Pech die emotionale Kontrolle verliert und schlechter spielt?;Tilt (Tilten);Mittel
59;Welches ikonische Auto besitzt die absolute Standard-Hitbox im eSport-Hit Rocket League und wird von fast allen Profis bevorzugt?;Octane;Mittel
60;Welches südkoreanische Team tritt traditionell im rot-schwarzen Look auf und hält die meisten LoL-Weltmeisterschaftstitel?;T1 (früher SK Telecom T1);Mittel
61;"Was versteht man unter einem ""Smurf"" im kompetitiven Online-Gaming?";Ein erfahrener Profi, der mit einem neuen Account in niedrigeren Rängen gegen Anfänger spielt;Mittel
62;"Welcher Counter-Strike-Profi bekam ein permanentes In-Game-Graffiti auf der Map Mirage für seinen legendären ""Jumping AWP Quad Kill""?";coldzera (Marcelo David);Mittel
63;Wie heißt die Unterwasserstadt, in der die düstere Handlung des Shooter-Meisterwerks BioShock angesiedelt ist?;Rapture;Mittel
64;Welcher Begriff beschreibt im eSport das bewusste Verändern von Spielwerten durch Entwickler, um das Spiel fair zu halten (z.B. Abschwächen)?;Balancing (Buffen / Nerfen);Mittel
65;"In welchem bekannten MMORPG kämpfen die Fraktionen ""Allianz"" und ""Horde"" erbittert gegeneinander?";World of Warcraft (WoW);Mittel
