Frage;Jahr in dem der Film/die Serie erstmalige erschien;Lösung (Name Film oder Serie)
In welcher Serie kocht der Chemielehrer Walter White Methamphetamin?;2008;Breaking Bad
Wie heißt der Mafia-Pate, gespielt von Marlon Brando?;1972;Der Pate
Welcher Film handelt von einem sinkenden Luxusschiff und der Liebe zwischen Jack und Rose?;1997;Titanic
In welcher Serie kämpfen verschiedene Häuser um den Eisernen Thron von Westeros?;2011;Game of Thrones
Wie heißt das kleine grüne Alien, das Mandalorianer Din Djarin beschützt?;2019;The Mandalorian
Welcher Film zeigt Neo, der entdeckt, dass die Welt eine Simulation ist?;1999;Matrix
Wie heißt der fiktive Kontinent, auf dem Frodo den Einen Ring zerstören muss?;2001;Der Herr der Ringe: Die Gefährten
"In welcher Sitcom treffen sich sechs Freunde regelmäßig im Café ""Central Perk""?";1994;Friends
Welcher Film dreht sich um einen Freizeitpark mit geklonten Dinosauriern?;1993;Jurassic Park
"In welcher Serie verschwindet der Junge Will Byers im ""Upside Down""?";2016;Stranger Things
Wie heißt der tollpatschige, aber liebenswerte Fisch, der seinen Sohn Nemo sucht?;2003;Findet Nemo
In welcher Serie geht es um die Mitarbeiter der Papierfirma Dunder Mifflin?;2005;The Office (US)
Welcher Film handelt von einem Boxer aus Philadelphia, gespielt von Sylvester Stallone?;1976;Rocky
Wie heißt der Zauberschüler mit der blitzförmigen Narbe?;2001;Harry Potter und der Stein der Weisen
In welcher Serie löst ein brillanter, aber sozial ungeschickter Detektiv Fälle in London?;2010;Sherlock
Welcher Film zeigt die Geschichte des Spielzeug-Cowboys Woody und des Space-Rangers Buzz Lightyear?;1995;Toy Story
Wie heißt die Serie über eine Gruppe von Überlebenden eines Flugzeugabsturzes auf einer mysteriösen Insel?;2004;Lost
"In welchem Film sagt ein kleiner Junge: ""Ich sehe tote Menschen""?";1999;The Sixth Sense
Welche Serie handelt von den kriminellen Machenschaften der Familie Shelby in Birmingham?;2013;Peaky Blinders
Wie heißt der Archäologe mit Peitsche und Fedora-Hut?;1981;Jäger des verlorenen Schatzes (Indiana Jones)
In welcher deutschen Serie reisen Charaktere durch die Zeit in der Kleinstadt Winden?;2017;Dark
Welcher Film dreht sich um einen Oger, der seine Sumpf-Heimat retten will?;2001;Shrek
Welche Serie beleuchtet das Leben von Königin Elizabeth II.?;2016;The Crown
In welchem Film kämpft ein römischer General als Sklave in der Arena?;2000;Gladiator
Wie heißt die Serie um den Serienkiller, der als Blutanlytiker für die Polizei von Miami arbeitet?;2006;Dexter
Welcher Film zeigt einen Löwenjungen namens Simba, der seinen Platz als König sucht?;1994;Der König der Löwen
In welcher Sitcom geht es um eine Gruppe von Nerds und ihre Nachbarin Penny?;2007;The Big Bang Theory
Wie heißt der Film, in dem ein Junge auf einem Fahrrad vor dem Mond fliegt, während ein Alien im Korb sitzt?;1982;E.T. – Der Außerirdische
Welche Serie handelt von einem Werbefachmann namens Don Draper in den 1960er Jahren?;2007;Mad Men
In welchem Film wird die Geschichte des Sklaven Django erzählt, der seine Frau befreien will?;2012;Django Unchained
Wie heißt die Animationsserie über eine gelbe Familie aus Springfield?;1989;Die Simpsons
Welcher Film zeigt eine Gruppe von Dieben, die in die Träume anderer Menschen eindringen?;2010;Inception
Welche Krankenhausserie folgt dem Leben von Meredith Grey?;2005;Grey's Anatomy
Wie heißt der Film, in dem ein Mann eine Schachtel Pralinen mit dem Leben vergleicht?;1994;Forrest Gump
In welcher Serie wird ein Lehrer zum Trainer eines englischen Fußballvereins?;2020;Ted Lasso
Welcher Film zeigt den Kampf von Batman gegen den Joker in Gotham City?;2008;The Dark Knight
Welche Serie handelt von der Schachspielerin Beth Harmon?;2020;Das Damengambit
Wie heißt der Film, in dem ein Killer-Cyborg aus der Zukunft geschickt wird, um Sarah Connor zu töten?;1984;Terminator
In welcher Serie überleben Menschen eine Zombie-Apokalypse unter der Führung von Rick Grimes?;2010;The Walking Dead
Welcher Film erzählt die Geschichte des tapferen Schotten William Wallace?;1995;Braveheart
Welche Serie spielt in der fiktiven Welt von Herr der Ringe und spielt im Zweiten Zeitalter?;2022;Der Herr der Ringe: Die Ringe der Macht
Wie heißt der Agent mit der Nummer 007, der im Geheimdienst Ihrer Majestät steht?;1962;James Bond – jagt Dr. No
In welcher Serie erben Geschwister ein Medienimperium von ihrem Vater Logan?;2018;Succession
